0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/pace-progress/pace.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/pace-progress/pace.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/May/2018:15:50:29 +0530] "GET /SampleServ/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/login.html HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/node_modules/pace-progress/pace.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:49 +0530] "GET /SampleServ/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/node_modules/pace-progress/pace.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/May/2018:15:55:50 +0530] "GET /SampleServ/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:02 +0530] "GET /SampleServ/login.html HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:02 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:02 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:02 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:02 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:02 +0530] "GET /SampleServ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:02 +0530] "GET /SampleServ/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:02 +0530] "GET /SampleServ/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:02 +0530] "GET /SampleServ/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:02 +0530] "GET /SampleServ/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/pace-progress/pace.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/pace-progress/pace.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/May/2018:15:57:03 +0530] "GET /SampleServ/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/login.html HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/node_modules/pace-progress/pace.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:09 +0530] "GET /SampleServ/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/node_modules/pace-progress/pace.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/May/2018:16:03:10 +0530] "GET /SampleServ/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/login.html HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/pace-progress/pace.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/pace-progress/pace.min.js HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [25/May/2018:16:05:50 +0530] "GET /SampleServ/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/May/2018:16:09:42 +0530] "GET /SampleServ/login.html HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [25/May/2018:16:09:42 +0530] "GET /SampleServ/login.html HTTP/1.1" 200 -
